source	target	n
1	5	158
1	6	5
1	7	9
1	8	12
1	9	156
1	12	3
1	14	1382
1	15	4
1	16	125
1	17	348
2	5	12
2	6	8
2	7	4
2	9	123
2	11	1
2	12	3
2	13	7
2	14	261
2	15	4
2	16	77
2	17	194
3	5	24
3	11	5
3	13	7
4	5	15
4	6	5
4	8	10
4	9	169
4	10	18
4	14	205
4	16	278
4	17	220
1	18	254
1	20	60
1	21	92
1	23	199
1	25	5
1	26	112
1	27	12
1	28	107
1	29	97
1	30	4
1	31	65
1	33	84
1	35	218
1	36	259
1	38	20
1	39	3
1	40	10
1	43	43
1	44	210
1	45	348
2	18	50
2	19	20
2	20	12
2	21	55
2	24	8
2	25	8
2	26	39
2	28	51
2	30	4
2	33	46
2	35	42
2	36	51
2	37	14
2	38	1
2	39	3
2	40	4
2	42	2
2	43	55
2	44	35
2	45	194
3	24	12
3	32	24
4	19	206
4	20	15
4	21	43
4	22	26
4	25	5
4	26	44
4	27	10
4	31	54
4	33	40
4	34	18
4	35	62
4	41	73
4	42	71
4	43	33
4	45	220
1	46	112
1	47	805
1	48	1285
2	46	39
2	47	214
2	48	441
3	48	36
4	46	44
4	47	422
4	48	454
1	49	348
1	50	1854
2	49	194
2	50	500
3	50	36
4	49	220
4	50	700
5	20	87
5	29	97
5	32	24
5	40	1
6	25	18
7	40	13
8	27	22
9	22	26
9	28	109
9	33	115
9	38	21
9	41	73
9	43	104
10	34	18
11	24	6
12	39	6
13	24	14
14	18	304
14	23	199
14	26	195
14	28	49
14	31	60
14	33	55
14	35	322
14	36	310
14	37	14
14	42	73
14	43	22
14	44	245
15	30	8
16	19	226
16	21	190
16	31	59
16	43	5
17	45	762
5	47	87
5	48	122
6	47	18
7	48	13
8	48	22
9	47	229
9	48	219
10	48	18
11	48	6
12	47	6
13	48	14
14	46	195
14	47	626
14	48	1027
15	48	8
16	47	475
16	48	5
17	48	762
5	50	209
6	50	18
7	50	13
8	50	22
9	50	448
10	50	18
11	50	6
12	50	6
13	50	14
14	50	1848
15	50	8
16	50	480
17	49	762
18	47	304
19	47	226
20	47	87
21	47	190
22	47	26
23	47	199
24	48	20
25	47	18
26	46	195
27	48	22
28	47	158
29	48	97
30	48	8
31	47	119
32	48	24
33	48	170
34	48	18
35	48	322
36	48	310
37	47	14
38	47	21
39	47	6
40	48	14
41	47	73
42	48	73
43	48	131
44	48	245
45	48	762
18	50	304
19	50	226
20	50	87
21	50	190
22	50	26
23	50	199
24	50	20
25	50	18
26	50	195
27	50	22
28	50	158
29	50	97
30	50	8
31	50	119
32	50	24
33	50	170
34	50	18
35	50	322
36	50	310
37	50	14
38	50	21
39	50	6
40	50	14
41	50	73
42	50	73
43	50	131
44	50	245
45	49	762
46	50	195
47	50	1441
48	49	762
48	50	1454
