Feature	sample	counts
Nitrosomonadaceae	R347CMSA	59
Nitrosomonadaceae	R347IMSA	17
Nitrosomonadaceae	R371CMSA	9
Nitrosomonadaceae	SRR10104064	NA
Nitrosomonadaceae	SRR10104065	NA
Nitrosomonadaceae	SRR10104066	NA
Nitrosomonadaceae	SRR10104067	NA
Nitrosomonadaceae	SRR10104068	NA
Nitrosomonadaceae	SRR10104069	NA
Nitrosomonadaceae	SRR10104070	NA
Nitrosomonadaceae	SRR10104071	NA
Nitrosomonadaceae	SRR10104072	NA
Nitrosomonadaceae	SRR10104073	NA
Nitrosomonadaceae	SRR10104074	NA
Nitrosomonadaceae	SRR10104075	NA
Nitrosomonadaceae	SRR10104076	NA
Nitrosomonadaceae	SRR10104077	NA
Nitrosomonadaceae	SRR10104078	NA
Nitrosomonadaceae	SRR10104079	NA
Nitrosomonadaceae	SRR10104080	NA
Nitrosomonadaceae	SRR10104081	NA
Nitrosomonadaceae	SRR10104082	NA
Nitrosomonadaceae	SRR10104083	NA
Nitrosomonadaceae	SRR10104084	NA
Nitrosomonadaceae	SRR10104085	NA
Nitrosomonadaceae	SRR10104086	NA
Nitrosomonadaceae	SRR10104087	NA
Nitrosomonadaceae	SRR10104088	NA
Nitrosomonadaceae	SRR10104089	NA
Nitrosomonadaceae	SRR10104090	NA
Nitrosomonadaceae	SRR10104091	NA
Nitrosomonadaceae	SRR10104092	NA
Nitrosomonadaceae	SRR10104093	NA
Nitrosomonadaceae	SRR10104094	NA
Nitrosomonadaceae	SRR10104095	NA
Nitrosomonadaceae	SRR10104096	NA
Nitrosomonadaceae	SRR10104097	NA
Nitrosomonadaceae	SRR10104098	NA
Nitrosomonadaceae	SRR10104099	NA
Nitrosomonadaceae	SRR10104100	NA
Nitrosomonadaceae	SRR10104101	NA
Nitrosomonadaceae	SRR10104102	NA
Nitrosomonadaceae	SRR10104103	NA
Nitrosomonadaceae	SRR10104104	NA
Nitrosomonadaceae	SRR10104105	NA
Nitrosomonadaceae	SRR10104106	NA
Nitrosomonadaceae	SRR10104107	NA
Nitrosomonadaceae	SRR10104108	NA
Nitrosomonadaceae	SRR10104109	NA
Nitrosomonadaceae	SRR10104110	NA
Nitrosomonadaceae	SRR10104111	NA
Nitrosomonadaceae	SRR10104112	NA
Nitrosomonadaceae	SRR10104113	NA
Nitrosomonadaceae	SRR10104114	NA
Nitrosomonadaceae	SRR10104115	NA
Nitrosomonadaceae	SRR10104116	NA
Nitrosomonadaceae	SRR10104117	NA
Nitrosomonadaceae	SRR10104118	NA
Nitrosomonadaceae	SRR10104119	NA
Nitrosomonadaceae	SRR10104120	NA
Nitrosomonadaceae	SRR10104121	NA
Nitrosomonadaceae	SRR10104122	NA
Nitrosomonadaceae	SRR10104123	NA
Nitrosomonadaceae	SRR10104124	NA
Nitrosomonadaceae	SRR10104125	NA
Nitrosomonadaceae	SRR10104126	NA
Nitrosomonadaceae	SRR10104127	NA
Nitrosomonadaceae	SRR10104128	NA
Nitrosomonadaceae	SRR10104129	NA
Nitrosomonadaceae	SRR10104130	NA
Nitrosomonadaceae	SRR10104131	NA
Nitrosomonadaceae	SRR10104132	NA
Nitrosomonadaceae	SRR10104133	NA
Nitrosomonadaceae	SRR10104134	NA
Nitrosomonadaceae	SRR10104135	NA
Nitrosomonadaceae	SRR10104136	NA
Nitrosomonadaceae	SRR10104137	NA
Nitrosomonadaceae	SRR10104138	NA
Nitrosomonadaceae	SRR10104139	NA
Nitrosomonadaceae	SRR10104140	NA
Nitrosomonadaceae	SRR10104141	NA
Nitrosomonadaceae	SRR10104142	NA
Nitrosomonadaceae	SRR10104143	NA
Nitrosomonadaceae	SRR10104144	NA
