Species	sample	counts
Corynebacterium_provencense	R347CMSA	0
Corynebacterium_provencense	R347IMSA	0
Corynebacterium_provencense	R371CMSA	0
Corynebacterium_provencense	SRR10104064	NA
Corynebacterium_provencense	SRR10104065	NA
Corynebacterium_provencense	SRR10104066	NA
Corynebacterium_provencense	SRR10104067	NA
Corynebacterium_provencense	SRR10104068	NA
Corynebacterium_provencense	SRR10104069	NA
Corynebacterium_provencense	SRR10104070	NA
Corynebacterium_provencense	SRR10104071	NA
Corynebacterium_provencense	SRR10104072	NA
Corynebacterium_provencense	SRR10104073	NA
Corynebacterium_provencense	SRR10104074	NA
Corynebacterium_provencense	SRR10104075	NA
Corynebacterium_provencense	SRR10104076	NA
Corynebacterium_provencense	SRR10104077	NA
Corynebacterium_provencense	SRR10104078	NA
Corynebacterium_provencense	SRR10104079	NA
Corynebacterium_provencense	SRR10104080	NA
Corynebacterium_provencense	SRR10104081	NA
Corynebacterium_provencense	SRR10104082	NA
Corynebacterium_provencense	SRR10104083	NA
Corynebacterium_provencense	SRR10104084	NA
Corynebacterium_provencense	SRR10104085	NA
Corynebacterium_provencense	SRR10104086	NA
Corynebacterium_provencense	SRR10104087	NA
Corynebacterium_provencense	SRR10104088	NA
Corynebacterium_provencense	SRR10104089	NA
Corynebacterium_provencense	SRR10104090	NA
Corynebacterium_provencense	SRR10104091	NA
Corynebacterium_provencense	SRR10104092	NA
Corynebacterium_provencense	SRR10104093	NA
Corynebacterium_provencense	SRR10104094	NA
Corynebacterium_provencense	SRR10104095	NA
Corynebacterium_provencense	SRR10104096	NA
Corynebacterium_provencense	SRR10104097	NA
Corynebacterium_provencense	SRR10104098	NA
Corynebacterium_provencense	SRR10104099	NA
Corynebacterium_provencense	SRR10104100	NA
Corynebacterium_provencense	SRR10104101	NA
Corynebacterium_provencense	SRR10104102	NA
Corynebacterium_provencense	SRR10104103	NA
Corynebacterium_provencense	SRR10104104	NA
Corynebacterium_provencense	SRR10104105	NA
Corynebacterium_provencense	SRR10104106	NA
Corynebacterium_provencense	SRR10104107	NA
Corynebacterium_provencense	SRR10104108	NA
Corynebacterium_provencense	SRR10104109	NA
Corynebacterium_provencense	SRR10104110	NA
Corynebacterium_provencense	SRR10104111	NA
Corynebacterium_provencense	SRR10104112	NA
Corynebacterium_provencense	SRR10104113	NA
Corynebacterium_provencense	SRR10104114	NA
Corynebacterium_provencense	SRR10104115	NA
Corynebacterium_provencense	SRR10104116	NA
Corynebacterium_provencense	SRR10104117	NA
Corynebacterium_provencense	SRR10104118	NA
Corynebacterium_provencense	SRR10104119	NA
Corynebacterium_provencense	SRR10104120	NA
Corynebacterium_provencense	SRR10104121	NA
Corynebacterium_provencense	SRR10104122	NA
Corynebacterium_provencense	SRR10104123	NA
Corynebacterium_provencense	SRR10104124	NA
Corynebacterium_provencense	SRR10104125	NA
Corynebacterium_provencense	SRR10104126	NA
Corynebacterium_provencense	SRR10104127	NA
Corynebacterium_provencense	SRR10104128	NA
Corynebacterium_provencense	SRR10104129	NA
Corynebacterium_provencense	SRR10104130	NA
Corynebacterium_provencense	SRR10104131	NA
Corynebacterium_provencense	SRR10104132	NA
Corynebacterium_provencense	SRR10104133	NA
Corynebacterium_provencense	SRR10104134	NA
Corynebacterium_provencense	SRR10104135	NA
Corynebacterium_provencense	SRR10104136	NA
Corynebacterium_provencense	SRR10104137	NA
Corynebacterium_provencense	SRR10104138	NA
Corynebacterium_provencense	SRR10104139	NA
Corynebacterium_provencense	SRR10104140	NA
Corynebacterium_provencense	SRR10104141	NA
Corynebacterium_provencense	SRR10104142	NA
Corynebacterium_provencense	SRR10104143	NA
Corynebacterium_provencense	SRR10104144	NA
Corynebacterium_provencense	SRR10104145	NA
Corynebacterium_provencense	SRR10104146	NA
Corynebacterium_provencense	SRR10104147	NA
Corynebacterium_provencense	SRR10104148	NA
Corynebacterium_provencense	SRR10104149	NA
Corynebacterium_provencense	SRR10104150	NA
Corynebacterium_provencense	SRR10104151	NA
Corynebacterium_provencense	SRR10104152	NA
Corynebacterium_provencense	SRR10104153	NA
Corynebacterium_provencense	SRR10104154	NA
Corynebacterium_provencense	SRR10104155	NA
Corynebacterium_provencense	SRR10104156	NA
Corynebacterium_provencense	SRR10104157	NA
Corynebacterium_provencense	SRR10104158	NA
Corynebacterium_provencense	SRR10104159	NA
Corynebacterium_provencense	SRR10104160	NA
Corynebacterium_provencense	SRR10104161	NA
Corynebacterium_provencense	SRR10104162	NA
Corynebacterium_provencense	SRR10104163	NA
Corynebacterium_provencense	SRR10104164	NA
Corynebacterium_provencense	SRR10104165	NA
Corynebacterium_provencense	SRR10104166	NA
Corynebacterium_provencense	SRR10104167	NA
Corynebacterium_provencense	SRR10104168	NA
Corynebacterium_provencense	SRR10104169	NA
Corynebacterium_provencense	SRR10104170	NA
Corynebacterium_provencense	SRR10104171	NA
Corynebacterium_provencense	SRR10104172	NA
Corynebacterium_provencense	SRR10104173	NA
Corynebacterium_provencense	SRR10104174	NA
Corynebacterium_provencense	SRR10104175	NA
Corynebacterium_provencense	SRR10104176	NA
Corynebacterium_provencense	SRR10104177	NA
Corynebacterium_provencense	SRR10104178	NA
Corynebacterium_provencense	SRR10104179	NA
Corynebacterium_provencense	SRR10104180	NA
Corynebacterium_provencense	SRR10104181	NA
Corynebacterium_provencense	SRR10104182	NA
Corynebacterium_provencense	SRR10104183	NA
Corynebacterium_provencense	SRR10104184	NA
Corynebacterium_provencense	SRR10104185	NA
Corynebacterium_provencense	SRR10104186	NA
Corynebacterium_provencense	SRR10104187	NA
Corynebacterium_provencense	SRR10104188	NA
Corynebacterium_provencense	SRR10104189	NA
Corynebacterium_provencense	SRR10104190	NA
Corynebacterium_provencense	SRR10104191	NA
Corynebacterium_provencense	SRR10104192	NA
Corynebacterium_provencense	SRR10104193	NA
Corynebacterium_provencense	SRR10104194	NA
Corynebacterium_provencense	SRR10104195	NA
Corynebacterium_provencense	SRR10104196	NA
Corynebacterium_provencense	SRR10104197	NA
Corynebacterium_provencense	SRR10104198	NA
Corynebacterium_provencense	SRR10104199	NA
Corynebacterium_provencense	SRR10104200	NA
Corynebacterium_provencense	SRR10104201	NA
Corynebacterium_provencense	SRR10104202	NA
Corynebacterium_provencense	SRR10104203	NA
Corynebacterium_provencense	SRR10104204	NA
Corynebacterium_provencense	SRR10104205	NA
Corynebacterium_provencense	SRR10104206	NA
Corynebacterium_provencense	SRR10104207	NA
