Species	sample	counts
Sorangium_cellulosum	R347CMSA	57
Sorangium_cellulosum	R347IMSA	11
Sorangium_cellulosum	R371CMSA	15
Sorangium_cellulosum	SRR10104064	NA
Sorangium_cellulosum	SRR10104065	NA
Sorangium_cellulosum	SRR10104066	NA
Sorangium_cellulosum	SRR10104067	NA
Sorangium_cellulosum	SRR10104068	NA
Sorangium_cellulosum	SRR10104069	NA
Sorangium_cellulosum	SRR10104070	NA
Sorangium_cellulosum	SRR10104071	NA
Sorangium_cellulosum	SRR10104072	NA
Sorangium_cellulosum	SRR10104073	NA
Sorangium_cellulosum	SRR10104074	NA
Sorangium_cellulosum	SRR10104075	NA
Sorangium_cellulosum	SRR10104076	NA
Sorangium_cellulosum	SRR10104077	NA
Sorangium_cellulosum	SRR10104078	NA
Sorangium_cellulosum	SRR10104079	NA
Sorangium_cellulosum	SRR10104080	NA
Sorangium_cellulosum	SRR10104081	NA
Sorangium_cellulosum	SRR10104082	NA
Sorangium_cellulosum	SRR10104083	NA
Sorangium_cellulosum	SRR10104084	NA
Sorangium_cellulosum	SRR10104085	NA
Sorangium_cellulosum	SRR10104086	NA
Sorangium_cellulosum	SRR10104087	NA
Sorangium_cellulosum	SRR10104088	NA
Sorangium_cellulosum	SRR10104089	NA
Sorangium_cellulosum	SRR10104090	NA
Sorangium_cellulosum	SRR10104091	NA
Sorangium_cellulosum	SRR10104092	NA
Sorangium_cellulosum	SRR10104093	NA
Sorangium_cellulosum	SRR10104094	NA
Sorangium_cellulosum	SRR10104095	NA
Sorangium_cellulosum	SRR10104096	NA
Sorangium_cellulosum	SRR10104097	NA
Sorangium_cellulosum	SRR10104098	NA
Sorangium_cellulosum	SRR10104099	NA
Sorangium_cellulosum	SRR10104100	NA
Sorangium_cellulosum	SRR10104101	NA
Sorangium_cellulosum	SRR10104102	NA
Sorangium_cellulosum	SRR10104103	NA
Sorangium_cellulosum	SRR10104104	NA
Sorangium_cellulosum	SRR10104105	NA
Sorangium_cellulosum	SRR10104106	NA
Sorangium_cellulosum	SRR10104107	NA
Sorangium_cellulosum	SRR10104108	NA
Sorangium_cellulosum	SRR10104109	NA
Sorangium_cellulosum	SRR10104110	NA
Sorangium_cellulosum	SRR10104111	NA
Sorangium_cellulosum	SRR10104112	NA
Sorangium_cellulosum	SRR10104113	NA
Sorangium_cellulosum	SRR10104114	NA
Sorangium_cellulosum	SRR10104115	NA
Sorangium_cellulosum	SRR10104116	NA
Sorangium_cellulosum	SRR10104117	NA
Sorangium_cellulosum	SRR10104118	NA
Sorangium_cellulosum	SRR10104119	NA
Sorangium_cellulosum	SRR10104120	NA
Sorangium_cellulosum	SRR10104121	NA
Sorangium_cellulosum	SRR10104122	NA
Sorangium_cellulosum	SRR10104123	NA
Sorangium_cellulosum	SRR10104124	NA
Sorangium_cellulosum	SRR10104125	NA
Sorangium_cellulosum	SRR10104126	NA
Sorangium_cellulosum	SRR10104127	NA
Sorangium_cellulosum	SRR10104128	NA
Sorangium_cellulosum	SRR10104129	NA
Sorangium_cellulosum	SRR10104130	NA
Sorangium_cellulosum	SRR10104131	NA
Sorangium_cellulosum	SRR10104132	NA
Sorangium_cellulosum	SRR10104133	NA
Sorangium_cellulosum	SRR10104134	NA
Sorangium_cellulosum	SRR10104135	NA
Sorangium_cellulosum	SRR10104136	NA
Sorangium_cellulosum	SRR10104137	NA
Sorangium_cellulosum	SRR10104138	NA
Sorangium_cellulosum	SRR10104139	NA
Sorangium_cellulosum	SRR10104140	NA
Sorangium_cellulosum	SRR10104141	NA
Sorangium_cellulosum	SRR10104142	NA
Sorangium_cellulosum	SRR10104143	NA
Sorangium_cellulosum	SRR10104144	NA
Sorangium_cellulosum	SRR10104145	NA
Sorangium_cellulosum	SRR10104146	NA
Sorangium_cellulosum	SRR10104147	NA
Sorangium_cellulosum	SRR10104148	NA
Sorangium_cellulosum	SRR10104149	NA
Sorangium_cellulosum	SRR10104150	NA
Sorangium_cellulosum	SRR10104151	NA
Sorangium_cellulosum	SRR10104152	NA
Sorangium_cellulosum	SRR10104153	NA
Sorangium_cellulosum	SRR10104154	NA
Sorangium_cellulosum	SRR10104155	NA
Sorangium_cellulosum	SRR10104156	NA
Sorangium_cellulosum	SRR10104157	NA
Sorangium_cellulosum	SRR10104158	NA
Sorangium_cellulosum	SRR10104159	NA
Sorangium_cellulosum	SRR10104160	NA
Sorangium_cellulosum	SRR10104161	NA
Sorangium_cellulosum	SRR10104162	NA
Sorangium_cellulosum	SRR10104163	NA
Sorangium_cellulosum	SRR10104164	NA
Sorangium_cellulosum	SRR10104165	NA
Sorangium_cellulosum	SRR10104166	NA
Sorangium_cellulosum	SRR10104167	NA
Sorangium_cellulosum	SRR10104168	NA
Sorangium_cellulosum	SRR10104169	NA
Sorangium_cellulosum	SRR10104170	NA
Sorangium_cellulosum	SRR10104171	NA
Sorangium_cellulosum	SRR10104172	NA
Sorangium_cellulosum	SRR10104173	NA
Sorangium_cellulosum	SRR10104174	NA
Sorangium_cellulosum	SRR10104175	NA
Sorangium_cellulosum	SRR10104176	NA
Sorangium_cellulosum	SRR10104177	NA
Sorangium_cellulosum	SRR10104178	NA
Sorangium_cellulosum	SRR10104179	NA
Sorangium_cellulosum	SRR10104180	NA
Sorangium_cellulosum	SRR10104181	NA
Sorangium_cellulosum	SRR10104182	NA
Sorangium_cellulosum	SRR10104183	NA
Sorangium_cellulosum	SRR10104184	NA
Sorangium_cellulosum	SRR10104185	NA
Sorangium_cellulosum	SRR10104186	NA
Sorangium_cellulosum	SRR10104187	NA
Sorangium_cellulosum	SRR10104188	NA
Sorangium_cellulosum	SRR10104189	NA
Sorangium_cellulosum	SRR10104190	NA
Sorangium_cellulosum	SRR10104191	NA
Sorangium_cellulosum	SRR10104192	NA
Sorangium_cellulosum	SRR10104193	NA
Sorangium_cellulosum	SRR10104194	NA
Sorangium_cellulosum	SRR10104195	NA
Sorangium_cellulosum	SRR10104196	NA
Sorangium_cellulosum	SRR10104197	NA
Sorangium_cellulosum	SRR10104198	NA
Sorangium_cellulosum	SRR10104199	NA
Sorangium_cellulosum	SRR10104200	NA
Sorangium_cellulosum	SRR10104201	NA
Sorangium_cellulosum	SRR10104202	NA
Sorangium_cellulosum	SRR10104203	NA
Sorangium_cellulosum	SRR10104204	NA
Sorangium_cellulosum	SRR10104205	NA
Sorangium_cellulosum	SRR10104206	NA
Sorangium_cellulosum	SRR10104207	NA
Sorangium_cellulosum	SRR10104208	NA
Sorangium_cellulosum	SRR10104209	NA
Sorangium_cellulosum	SRR10104210	NA
Sorangium_cellulosum	SRR10104211	NA
Sorangium_cellulosum	SRR10104212	NA
Sorangium_cellulosum	SRR10104213	NA
Sorangium_cellulosum	SRR10104214	NA
Sorangium_cellulosum	SRR10104215	NA
Sorangium_cellulosum	SRR10104216	NA
Sorangium_cellulosum	SRR10104217	NA
Sorangium_cellulosum	SRR10104218	NA
Sorangium_cellulosum	SRR10104219	NA
Sorangium_cellulosum	SRR10104220	NA
Sorangium_cellulosum	SRR10104221	NA
Sorangium_cellulosum	SRR10104222	NA
Sorangium_cellulosum	SRR10104223	NA
Sorangium_cellulosum	SRR10104224	NA
Sorangium_cellulosum	SRR10104225	NA
Sorangium_cellulosum	SRR10104226	NA
Sorangium_cellulosum	SRR10104227	NA
Sorangium_cellulosum	SRR10104228	NA
Sorangium_cellulosum	SRR10104229	NA
Sorangium_cellulosum	SRR10104230	NA
Sorangium_cellulosum	SRR10104231	NA
Sorangium_cellulosum	SRR10104232	NA
Sorangium_cellulosum	SRR10104233	NA
Sorangium_cellulosum	SRR10104234	NA
Sorangium_cellulosum	SRR10104235	NA
Sorangium_cellulosum	SRR10104236	NA
Sorangium_cellulosum	SRR10104237	NA
Sorangium_cellulosum	SRR10104238	NA
Sorangium_cellulosum	SRR10104239	NA
Sorangium_cellulosum	SRR10104240	NA
Sorangium_cellulosum	SRR10104241	NA
Sorangium_cellulosum	SRR10104242	NA
Sorangium_cellulosum	SRR10104243	NA
Sorangium_cellulosum	SRR10104244	NA
Sorangium_cellulosum	SRR10104245	NA
Sorangium_cellulosum	SRR10104246	NA
Sorangium_cellulosum	SRR10104247	NA
Sorangium_cellulosum	SRR10104248	NA
Sorangium_cellulosum	SRR10104249	NA
Sorangium_cellulosum	SRR10104250	NA
Sorangium_cellulosum	SRR10104251	NA
Sorangium_cellulosum	SRR10104252	NA
Sorangium_cellulosum	SRR10104253	NA
Sorangium_cellulosum	SRR10104254	NA
Sorangium_cellulosum	SRR10104255	NA
Sorangium_cellulosum	SRR10104256	NA
Sorangium_cellulosum	SRR10104257	NA
Sorangium_cellulosum	SRR10104258	NA
Sorangium_cellulosum	SRR10224277	0
Sorangium_cellulosum	SRR10224278	0
Sorangium_cellulosum	SRR10224279	0
Sorangium_cellulosum	SRR10224280	0
Sorangium_cellulosum	SRR10224281	0
Sorangium_cellulosum	SRR10224282	0
Sorangium_cellulosum	SRR10224283	0
Sorangium_cellulosum	SRR10224284	0
Sorangium_cellulosum	SRR10224285	0
Sorangium_cellulosum	SRR10224286	0
Sorangium_cellulosum	SRR10224287	0
Sorangium_cellulosum	SRR10224288	0
Sorangium_cellulosum	SRR10224289	0
Sorangium_cellulosum	SRR10224290	0
Sorangium_cellulosum	SRR10224291	0
Sorangium_cellulosum	SRR10224292	0
Sorangium_cellulosum	SRR10224293	0
Sorangium_cellulosum	SRR10224294	0
Sorangium_cellulosum	SRR10224295	0
Sorangium_cellulosum	SRR10224296	0
Sorangium_cellulosum	SRR10224297	0
Sorangium_cellulosum	SRR10224298	0
Sorangium_cellulosum	SRR10318388	NA
Sorangium_cellulosum	SRR10318389	NA
Sorangium_cellulosum	SRR10318390	NA
Sorangium_cellulosum	SRR10318391	NA
Sorangium_cellulosum	SRR10318392	NA
Sorangium_cellulosum	SRR10318393	NA
Sorangium_cellulosum	SRR10318394	NA
Sorangium_cellulosum	SRR10318395	NA
Sorangium_cellulosum	SRR10318396	NA
Sorangium_cellulosum	SRR10318397	NA
Sorangium_cellulosum	SRR10318398	NA
Sorangium_cellulosum	SRR10318399	NA
Sorangium_cellulosum	SRR10318400	NA
Sorangium_cellulosum	SRR10318401	NA
Sorangium_cellulosum	SRR10318402	NA
Sorangium_cellulosum	SRR10318403	NA
Sorangium_cellulosum	SRR10318404	NA
Sorangium_cellulosum	SRR10318405	NA
Sorangium_cellulosum	SRR10318406	NA
Sorangium_cellulosum	SRR10318407	NA
Sorangium_cellulosum	SRR10318408	NA
Sorangium_cellulosum	SRR10318409	NA
Sorangium_cellulosum	SRR10318410	NA
Sorangium_cellulosum	SRR10318411	NA
Sorangium_cellulosum	SRR10318412	NA
Sorangium_cellulosum	SRR10318413	NA
Sorangium_cellulosum	SRR10318414	NA
Sorangium_cellulosum	SRR10318415	NA
Sorangium_cellulosum	SRR10318416	NA
Sorangium_cellulosum	SRR10318417	NA
Sorangium_cellulosum	SRR10318418	NA
Sorangium_cellulosum	SRR10318419	NA
Sorangium_cellulosum	SRR10318420	NA
Sorangium_cellulosum	SRR10318421	NA
Sorangium_cellulosum	SRR10318422	NA
Sorangium_cellulosum	SRR10318423	NA
Sorangium_cellulosum	SRR10318424	NA
Sorangium_cellulosum	SRR10318425	NA
Sorangium_cellulosum	SRR10318426	NA
Sorangium_cellulosum	SRR10318427	NA
Sorangium_cellulosum	SRR10318428	NA
Sorangium_cellulosum	SRR10318429	NA
Sorangium_cellulosum	SRR10318430	NA
Sorangium_cellulosum	SRR10318431	NA
Sorangium_cellulosum	SRR10318432	NA
Sorangium_cellulosum	SRR10318433	NA
Sorangium_cellulosum	SRR10318434	NA
Sorangium_cellulosum	SRR10318435	NA
Sorangium_cellulosum	SRR10318436	NA
Sorangium_cellulosum	SRR10318437	NA
Sorangium_cellulosum	SRR10318438	NA
Sorangium_cellulosum	SRR10318439	NA
Sorangium_cellulosum	SRR10318440	NA
Sorangium_cellulosum	SRR10318441	NA
Sorangium_cellulosum	SRR10318442	NA
Sorangium_cellulosum	SRR10318443	NA
Sorangium_cellulosum	SRR10318444	NA
Sorangium_cellulosum	SRR10318445	NA
Sorangium_cellulosum	SRR10318446	NA
Sorangium_cellulosum	SRR10318447	NA
Sorangium_cellulosum	SRR10318448	NA
Sorangium_cellulosum	SRR10318449	NA
Sorangium_cellulosum	SRR10318450	NA
Sorangium_cellulosum	SRR10318451	NA
Sorangium_cellulosum	SRR10318452	NA
Sorangium_cellulosum	SRR10318453	NA
Sorangium_cellulosum	SRR10318454	NA
Sorangium_cellulosum	SRR10318455	NA
Sorangium_cellulosum	SRR10318456	NA
Sorangium_cellulosum	SRR10318457	NA
Sorangium_cellulosum	SRR10318458	NA
Sorangium_cellulosum	SRR10318459	NA
Sorangium_cellulosum	SRR10318460	NA
Sorangium_cellulosum	SRR10318461	NA
Sorangium_cellulosum	SRR10318462	NA
Sorangium_cellulosum	SRR10318463	NA
