Species	sample	counts
Corynebacterium_choanis	R347CMSA	3
Corynebacterium_choanis	R347IMSA	0
Corynebacterium_choanis	R371CMSA	0
Corynebacterium_choanis	SRR10104064	NA
Corynebacterium_choanis	SRR10104065	NA
Corynebacterium_choanis	SRR10104066	NA
Corynebacterium_choanis	SRR10104067	NA
Corynebacterium_choanis	SRR10104068	NA
Corynebacterium_choanis	SRR10104069	NA
Corynebacterium_choanis	SRR10104070	NA
Corynebacterium_choanis	SRR10104071	NA
Corynebacterium_choanis	SRR10104072	NA
Corynebacterium_choanis	SRR10104073	NA
Corynebacterium_choanis	SRR10104074	NA
Corynebacterium_choanis	SRR10104075	NA
Corynebacterium_choanis	SRR10104076	NA
Corynebacterium_choanis	SRR10104077	NA
Corynebacterium_choanis	SRR10104078	NA
Corynebacterium_choanis	SRR10104079	NA
Corynebacterium_choanis	SRR10104080	NA
Corynebacterium_choanis	SRR10104081	NA
Corynebacterium_choanis	SRR10104082	NA
Corynebacterium_choanis	SRR10104083	NA
Corynebacterium_choanis	SRR10104084	NA
Corynebacterium_choanis	SRR10104085	NA
Corynebacterium_choanis	SRR10104086	NA
Corynebacterium_choanis	SRR10104087	NA
Corynebacterium_choanis	SRR10104088	NA
Corynebacterium_choanis	SRR10104089	NA
Corynebacterium_choanis	SRR10104090	NA
Corynebacterium_choanis	SRR10104091	NA
Corynebacterium_choanis	SRR10104092	NA
Corynebacterium_choanis	SRR10104093	NA
Corynebacterium_choanis	SRR10104094	NA
Corynebacterium_choanis	SRR10104095	NA
Corynebacterium_choanis	SRR10104096	NA
Corynebacterium_choanis	SRR10104097	NA
Corynebacterium_choanis	SRR10104098	NA
Corynebacterium_choanis	SRR10104099	NA
Corynebacterium_choanis	SRR10104100	NA
Corynebacterium_choanis	SRR10104101	NA
Corynebacterium_choanis	SRR10104102	NA
Corynebacterium_choanis	SRR10104103	NA
Corynebacterium_choanis	SRR10104104	NA
Corynebacterium_choanis	SRR10104105	NA
Corynebacterium_choanis	SRR10104106	NA
Corynebacterium_choanis	SRR10104107	NA
Corynebacterium_choanis	SRR10104108	NA
Corynebacterium_choanis	SRR10104109	NA
Corynebacterium_choanis	SRR10104110	NA
Corynebacterium_choanis	SRR10104111	NA
Corynebacterium_choanis	SRR10104112	NA
Corynebacterium_choanis	SRR10104113	NA
Corynebacterium_choanis	SRR10104114	NA
Corynebacterium_choanis	SRR10104115	NA
Corynebacterium_choanis	SRR10104116	NA
Corynebacterium_choanis	SRR10104117	NA
Corynebacterium_choanis	SRR10104118	NA
Corynebacterium_choanis	SRR10104119	NA
Corynebacterium_choanis	SRR10104120	NA
Corynebacterium_choanis	SRR10104121	NA
Corynebacterium_choanis	SRR10104122	NA
Corynebacterium_choanis	SRR10104123	NA
Corynebacterium_choanis	SRR10104124	NA
Corynebacterium_choanis	SRR10104125	NA
Corynebacterium_choanis	SRR10104126	NA
