Species	sample	counts
Rhodococcus_qingshengii	IS238	15
Rhodococcus_qingshengii	IS243	7
Rhodococcus_qingshengii	IS253	1
Rhodococcus_qingshengii	IS283	2
Rhodococcus_qingshengii	IS322	28
Rhodococcus_qingshengii	IS399	14
Rhodococcus_qingshengii	IS418	83
Rhodococcus_qingshengii	IS430	6
Rhodococcus_qingshengii	IS437	12
Rhodococcus_qingshengii	IS444	8
Rhodococcus_qingshengii	R276CMSA	65
Rhodococcus_qingshengii	R286CMSA	2
Rhodococcus_qingshengii	R292CMSA	7
Rhodococcus_qingshengii	R292IMSA	330
Rhodococcus_qingshengii	R308CMSA	28
Rhodococcus_qingshengii	R316IMSA	11
Rhodococcus_qingshengii	R347CMSA	84
Rhodococcus_qingshengii	R347IMSA	4
Rhodococcus_qingshengii	R371CMSA	19
Rhodococcus_qingshengii	SRR10104064	NA
Rhodococcus_qingshengii	SRR10104065	NA
Rhodococcus_qingshengii	SRR10104066	NA
Rhodococcus_qingshengii	SRR10104067	NA
Rhodococcus_qingshengii	SRR10104068	NA
Rhodococcus_qingshengii	SRR10104069	NA
Rhodococcus_qingshengii	SRR10104070	NA
Rhodococcus_qingshengii	SRR10104071	NA
Rhodococcus_qingshengii	SRR10104072	NA
Rhodococcus_qingshengii	SRR10104073	NA
Rhodococcus_qingshengii	SRR10104074	NA
Rhodococcus_qingshengii	SRR10104075	NA
Rhodococcus_qingshengii	SRR10104076	NA
Rhodococcus_qingshengii	SRR10104077	NA
Rhodococcus_qingshengii	SRR10104078	NA
Rhodococcus_qingshengii	SRR10104079	NA
Rhodococcus_qingshengii	SRR10104080	NA
Rhodococcus_qingshengii	SRR10104081	NA
Rhodococcus_qingshengii	SRR10104082	NA
Rhodococcus_qingshengii	SRR10104083	NA
Rhodococcus_qingshengii	SRR10104084	NA
Rhodococcus_qingshengii	SRR10104085	NA
Rhodococcus_qingshengii	SRR10104086	NA
Rhodococcus_qingshengii	SRR10104087	NA
Rhodococcus_qingshengii	SRR10104088	NA
Rhodococcus_qingshengii	SRR10104089	NA
Rhodococcus_qingshengii	SRR10104090	NA
Rhodococcus_qingshengii	SRR10104091	NA
Rhodococcus_qingshengii	SRR10104092	NA
Rhodococcus_qingshengii	SRR10104093	NA
Rhodococcus_qingshengii	SRR10104094	NA
Rhodococcus_qingshengii	SRR10104095	NA
Rhodococcus_qingshengii	SRR10104096	NA
Rhodococcus_qingshengii	SRR10104097	NA
Rhodococcus_qingshengii	SRR10104098	NA
Rhodococcus_qingshengii	SRR10104099	NA
Rhodococcus_qingshengii	SRR10104100	NA
Rhodococcus_qingshengii	SRR10104101	NA
Rhodococcus_qingshengii	SRR10104102	NA
Rhodococcus_qingshengii	SRR10104103	NA
Rhodococcus_qingshengii	SRR10104104	NA
Rhodococcus_qingshengii	SRR10104105	NA
Rhodococcus_qingshengii	SRR10104106	NA
Rhodococcus_qingshengii	SRR10104107	NA
Rhodococcus_qingshengii	SRR10104108	NA
Rhodococcus_qingshengii	SRR10104109	NA
Rhodococcus_qingshengii	SRR10104110	NA
Rhodococcus_qingshengii	SRR10104111	NA
Rhodococcus_qingshengii	SRR10104112	NA
Rhodococcus_qingshengii	SRR10104113	NA
Rhodococcus_qingshengii	SRR10104114	NA
Rhodococcus_qingshengii	SRR10104115	NA
Rhodococcus_qingshengii	SRR10104116	NA
Rhodococcus_qingshengii	SRR10104117	NA
Rhodococcus_qingshengii	SRR10104118	NA
Rhodococcus_qingshengii	SRR10104119	NA
Rhodococcus_qingshengii	SRR10104120	NA
Rhodococcus_qingshengii	SRR10104121	NA
Rhodococcus_qingshengii	SRR10104122	NA
Rhodococcus_qingshengii	SRR10104123	NA
Rhodococcus_qingshengii	SRR10104124	NA
Rhodococcus_qingshengii	SRR10104125	NA
Rhodococcus_qingshengii	SRR10104126	NA
Rhodococcus_qingshengii	SRR10104127	NA
Rhodococcus_qingshengii	SRR10104128	NA
Rhodococcus_qingshengii	SRR10104129	NA
Rhodococcus_qingshengii	SRR10104130	NA
Rhodococcus_qingshengii	SRR10104131	NA
Rhodococcus_qingshengii	SRR10104132	NA
Rhodococcus_qingshengii	SRR10104133	NA
Rhodococcus_qingshengii	SRR10104134	NA
Rhodococcus_qingshengii	SRR10104135	NA
Rhodococcus_qingshengii	SRR10104136	NA
Rhodococcus_qingshengii	SRR10104137	NA
Rhodococcus_qingshengii	SRR10104138	NA
Rhodococcus_qingshengii	SRR10104139	NA
Rhodococcus_qingshengii	SRR10104140	NA
Rhodococcus_qingshengii	SRR10104141	NA
Rhodococcus_qingshengii	SRR10104142	NA
Rhodococcus_qingshengii	SRR10104143	NA
Rhodococcus_qingshengii	SRR10104144	NA
Rhodococcus_qingshengii	SRR10104145	NA
Rhodococcus_qingshengii	SRR10104146	NA
Rhodococcus_qingshengii	SRR10104147	NA
Rhodococcus_qingshengii	SRR10104148	NA
Rhodococcus_qingshengii	SRR10104149	NA
Rhodococcus_qingshengii	SRR10104150	NA
Rhodococcus_qingshengii	SRR10104151	NA
Rhodococcus_qingshengii	SRR10104152	NA
Rhodococcus_qingshengii	SRR10104153	NA
Rhodococcus_qingshengii	SRR10104154	NA
Rhodococcus_qingshengii	SRR10104155	NA
Rhodococcus_qingshengii	SRR10104156	NA
Rhodococcus_qingshengii	SRR10104157	NA
Rhodococcus_qingshengii	SRR10104158	NA
Rhodococcus_qingshengii	SRR10104159	NA
Rhodococcus_qingshengii	SRR10104160	NA
Rhodococcus_qingshengii	SRR10104161	NA
Rhodococcus_qingshengii	SRR10104162	NA
Rhodococcus_qingshengii	SRR10104163	NA
Rhodococcus_qingshengii	SRR10104164	NA
Rhodococcus_qingshengii	SRR10104165	NA
Rhodococcus_qingshengii	SRR10104166	NA
Rhodococcus_qingshengii	SRR10104167	NA
Rhodococcus_qingshengii	SRR10104168	NA
Rhodococcus_qingshengii	SRR10104169	NA
Rhodococcus_qingshengii	SRR10104170	NA
Rhodococcus_qingshengii	SRR10104171	NA
Rhodococcus_qingshengii	SRR10104172	NA
Rhodococcus_qingshengii	SRR10104173	NA
Rhodococcus_qingshengii	SRR10104174	NA
Rhodococcus_qingshengii	SRR10104175	NA
Rhodococcus_qingshengii	SRR10104176	NA
Rhodococcus_qingshengii	SRR10104177	NA
Rhodococcus_qingshengii	SRR10104178	NA
Rhodococcus_qingshengii	SRR10104179	NA
Rhodococcus_qingshengii	SRR10104180	NA
Rhodococcus_qingshengii	SRR10104181	NA
Rhodococcus_qingshengii	SRR10104182	NA
Rhodococcus_qingshengii	SRR10104183	NA
Rhodococcus_qingshengii	SRR10104184	NA
Rhodococcus_qingshengii	SRR10104185	NA
Rhodococcus_qingshengii	SRR10104186	NA
Rhodococcus_qingshengii	SRR10104187	NA
Rhodococcus_qingshengii	SRR10104188	NA
Rhodococcus_qingshengii	SRR10104189	NA
Rhodococcus_qingshengii	SRR10104190	NA
Rhodococcus_qingshengii	SRR10104191	NA
Rhodococcus_qingshengii	SRR10104192	NA
Rhodococcus_qingshengii	SRR10104193	NA
Rhodococcus_qingshengii	SRR10104194	NA
Rhodococcus_qingshengii	SRR10104195	NA
Rhodococcus_qingshengii	SRR10104196	NA
Rhodococcus_qingshengii	SRR10104197	NA
Rhodococcus_qingshengii	SRR10104198	NA
Rhodococcus_qingshengii	SRR10104199	NA
Rhodococcus_qingshengii	SRR10104200	NA
Rhodococcus_qingshengii	SRR10104201	NA
Rhodococcus_qingshengii	SRR10104202	NA
Rhodococcus_qingshengii	SRR10104203	NA
Rhodococcus_qingshengii	SRR10104204	NA
Rhodococcus_qingshengii	SRR10104205	NA
Rhodococcus_qingshengii	SRR10104206	NA
Rhodococcus_qingshengii	SRR10104207	NA
Rhodococcus_qingshengii	SRR10104208	NA
Rhodococcus_qingshengii	SRR10104209	NA
Rhodococcus_qingshengii	SRR10104210	NA
Rhodococcus_qingshengii	SRR10104211	NA
Rhodococcus_qingshengii	SRR10104212	NA
Rhodococcus_qingshengii	SRR10104213	NA
Rhodococcus_qingshengii	SRR10104214	NA
Rhodococcus_qingshengii	SRR10104215	NA
Rhodococcus_qingshengii	SRR10104216	NA
Rhodococcus_qingshengii	SRR10104217	NA
Rhodococcus_qingshengii	SRR10104218	NA
Rhodococcus_qingshengii	SRR10104219	NA
Rhodococcus_qingshengii	SRR10104220	NA
Rhodococcus_qingshengii	SRR10104221	NA
Rhodococcus_qingshengii	SRR10104222	NA
Rhodococcus_qingshengii	SRR10104223	NA
Rhodococcus_qingshengii	SRR10104224	NA
Rhodococcus_qingshengii	SRR10104225	NA
Rhodococcus_qingshengii	SRR10104226	NA
Rhodococcus_qingshengii	SRR10104227	NA
Rhodococcus_qingshengii	SRR10104228	NA
Rhodococcus_qingshengii	SRR10104229	NA
Rhodococcus_qingshengii	SRR10104230	NA
Rhodococcus_qingshengii	SRR10104231	NA
Rhodococcus_qingshengii	SRR10104232	NA
Rhodococcus_qingshengii	SRR10104233	NA
Rhodococcus_qingshengii	SRR10104234	NA
Rhodococcus_qingshengii	SRR10104235	NA
Rhodococcus_qingshengii	SRR10104236	NA
Rhodococcus_qingshengii	SRR10104237	NA
Rhodococcus_qingshengii	SRR10104238	NA
Rhodococcus_qingshengii	SRR10104239	NA
Rhodococcus_qingshengii	SRR10104240	NA
Rhodococcus_qingshengii	SRR10104241	NA
Rhodococcus_qingshengii	SRR10104242	NA
Rhodococcus_qingshengii	SRR10104243	NA
Rhodococcus_qingshengii	SRR10104244	NA
Rhodococcus_qingshengii	SRR10104245	NA
Rhodococcus_qingshengii	SRR10104246	NA
Rhodococcus_qingshengii	SRR10104247	NA
Rhodococcus_qingshengii	SRR10104248	NA
Rhodococcus_qingshengii	SRR10104249	NA
Rhodococcus_qingshengii	SRR10104250	NA
Rhodococcus_qingshengii	SRR10104251	NA
Rhodococcus_qingshengii	SRR10104252	NA
Rhodococcus_qingshengii	SRR10104253	NA
Rhodococcus_qingshengii	SRR10104254	NA
Rhodococcus_qingshengii	SRR10104255	NA
Rhodococcus_qingshengii	SRR10104256	NA
Rhodococcus_qingshengii	SRR10104257	NA
Rhodococcus_qingshengii	SRR10104258	NA
Rhodococcus_qingshengii	SRR10224277	0
Rhodococcus_qingshengii	SRR10224278	0
Rhodococcus_qingshengii	SRR10224279	0
Rhodococcus_qingshengii	SRR10224280	0
Rhodococcus_qingshengii	SRR10224281	0
Rhodococcus_qingshengii	SRR10224282	0
Rhodococcus_qingshengii	SRR10224283	0
Rhodococcus_qingshengii	SRR10224284	0
Rhodococcus_qingshengii	SRR10224285	0
Rhodococcus_qingshengii	SRR10224286	0
Rhodococcus_qingshengii	SRR10224287	0
Rhodococcus_qingshengii	SRR10224288	0
Rhodococcus_qingshengii	SRR10224289	0
Rhodococcus_qingshengii	SRR10224290	0
Rhodococcus_qingshengii	SRR10224291	0
Rhodococcus_qingshengii	SRR10224292	0
Rhodococcus_qingshengii	SRR10224293	0
Rhodococcus_qingshengii	SRR10224294	0
Rhodococcus_qingshengii	SRR10224295	0
Rhodococcus_qingshengii	SRR10224296	0
Rhodococcus_qingshengii	SRR10224297	0
Rhodococcus_qingshengii	SRR10224298	0
Rhodococcus_qingshengii	SRR10318388	NA
Rhodococcus_qingshengii	SRR10318389	NA
Rhodococcus_qingshengii	SRR10318390	NA
Rhodococcus_qingshengii	SRR10318391	NA
Rhodococcus_qingshengii	SRR10318392	NA
Rhodococcus_qingshengii	SRR10318393	NA
Rhodococcus_qingshengii	SRR10318394	NA
Rhodococcus_qingshengii	SRR10318395	NA
Rhodococcus_qingshengii	SRR10318396	NA
Rhodococcus_qingshengii	SRR10318397	NA
Rhodococcus_qingshengii	SRR10318398	NA
Rhodococcus_qingshengii	SRR10318399	NA
Rhodococcus_qingshengii	SRR10318400	NA
Rhodococcus_qingshengii	SRR10318401	NA
Rhodococcus_qingshengii	SRR10318402	NA
Rhodococcus_qingshengii	SRR10318403	NA
Rhodococcus_qingshengii	SRR10318404	NA
Rhodococcus_qingshengii	SRR10318405	NA
Rhodococcus_qingshengii	SRR10318406	NA
Rhodococcus_qingshengii	SRR10318407	NA
Rhodococcus_qingshengii	SRR10318408	NA
Rhodococcus_qingshengii	SRR10318409	NA
Rhodococcus_qingshengii	SRR10318410	NA
Rhodococcus_qingshengii	SRR10318411	NA
Rhodococcus_qingshengii	SRR10318412	NA
Rhodococcus_qingshengii	SRR10318413	NA
Rhodococcus_qingshengii	SRR10318414	NA
Rhodococcus_qingshengii	SRR10318415	NA
Rhodococcus_qingshengii	SRR10318416	NA
Rhodococcus_qingshengii	SRR10318417	NA
Rhodococcus_qingshengii	SRR10318418	NA
Rhodococcus_qingshengii	SRR10318419	NA
Rhodococcus_qingshengii	SRR10318420	NA
Rhodococcus_qingshengii	SRR10318421	NA
Rhodococcus_qingshengii	SRR10318422	NA
Rhodococcus_qingshengii	SRR10318423	NA
Rhodococcus_qingshengii	SRR10318424	NA
Rhodococcus_qingshengii	SRR10318425	NA
Rhodococcus_qingshengii	SRR10318426	NA
Rhodococcus_qingshengii	SRR10318427	NA
Rhodococcus_qingshengii	SRR10318428	NA
Rhodococcus_qingshengii	SRR10318429	NA
Rhodococcus_qingshengii	SRR10318430	NA
Rhodococcus_qingshengii	SRR10318431	NA
Rhodococcus_qingshengii	SRR10318432	NA
Rhodococcus_qingshengii	SRR10318433	NA
Rhodococcus_qingshengii	SRR10318434	NA
Rhodococcus_qingshengii	SRR10318435	NA
Rhodococcus_qingshengii	SRR10318436	NA
Rhodococcus_qingshengii	SRR10318437	NA
Rhodococcus_qingshengii	SRR10318438	NA
Rhodococcus_qingshengii	SRR10318439	NA
Rhodococcus_qingshengii	SRR10318440	NA
Rhodococcus_qingshengii	SRR10318441	NA
Rhodococcus_qingshengii	SRR10318442	NA
Rhodococcus_qingshengii	SRR10318443	NA
Rhodococcus_qingshengii	SRR10318444	NA
Rhodococcus_qingshengii	SRR10318445	NA
Rhodococcus_qingshengii	SRR10318446	NA
Rhodococcus_qingshengii	SRR10318447	NA
Rhodococcus_qingshengii	SRR10318448	NA
Rhodococcus_qingshengii	SRR10318449	NA
Rhodococcus_qingshengii	SRR10318450	NA
Rhodococcus_qingshengii	SRR10318451	NA
Rhodococcus_qingshengii	SRR10318452	NA
Rhodococcus_qingshengii	SRR10318453	NA
Rhodococcus_qingshengii	SRR10318454	NA
Rhodococcus_qingshengii	SRR10318455	NA
Rhodococcus_qingshengii	SRR10318456	NA
Rhodococcus_qingshengii	SRR10318457	NA
Rhodococcus_qingshengii	SRR10318458	NA
Rhodococcus_qingshengii	SRR10318459	NA
Rhodococcus_qingshengii	SRR10318460	NA
Rhodococcus_qingshengii	SRR10318461	NA
Rhodococcus_qingshengii	SRR10318462	NA
Rhodococcus_qingshengii	SRR10318463	NA
Rhodococcus_qingshengii	SRR10318464	NA
Rhodococcus_qingshengii	SRR10318465	NA
Rhodococcus_qingshengii	SRR10318466	NA
Rhodococcus_qingshengii	SRR10318467	NA
Rhodococcus_qingshengii	SRR10318468	NA
Rhodococcus_qingshengii	SRR10318469	NA
Rhodococcus_qingshengii	SRR10318470	NA
Rhodococcus_qingshengii	SRR10318471	NA
Rhodococcus_qingshengii	SRR10318472	NA
Rhodococcus_qingshengii	SRR10318473	NA
Rhodococcus_qingshengii	SRR10318474	NA
