Species	sample	counts
Delftia_acidovorans	SRR10104066	NA
Delftia_acidovorans	SRR10104067	NA
Delftia_acidovorans	SRR10104068	NA
Delftia_acidovorans	SRR10104069	NA
Delftia_acidovorans	SRR10104070	NA
Delftia_acidovorans	SRR10104071	NA
Delftia_acidovorans	SRR10104072	NA
Delftia_acidovorans	SRR10104073	NA
Delftia_acidovorans	SRR10104074	NA
Delftia_acidovorans	SRR10104075	NA
Delftia_acidovorans	SRR10104076	NA
Delftia_acidovorans	SRR10104077	NA
Delftia_acidovorans	SRR10104078	NA
Delftia_acidovorans	SRR10104079	NA
Delftia_acidovorans	SRR10104080	NA
Delftia_acidovorans	SRR10104081	NA
Delftia_acidovorans	SRR10104082	NA
Delftia_acidovorans	SRR10104083	NA
Delftia_acidovorans	SRR10104084	NA
Delftia_acidovorans	SRR10104085	NA
Delftia_acidovorans	SRR10104086	NA
Delftia_acidovorans	SRR10104087	NA
Delftia_acidovorans	SRR10104088	NA
Delftia_acidovorans	SRR10104089	NA
Delftia_acidovorans	SRR10104090	NA
Delftia_acidovorans	SRR10104091	NA
Delftia_acidovorans	SRR10104092	NA
Delftia_acidovorans	SRR10104093	NA
Delftia_acidovorans	SRR10104094	NA
Delftia_acidovorans	SRR10104095	NA
Delftia_acidovorans	SRR10104096	NA
Delftia_acidovorans	SRR10104097	NA
Delftia_acidovorans	SRR10104098	NA
Delftia_acidovorans	SRR10104099	NA
Delftia_acidovorans	SRR10104100	NA
Delftia_acidovorans	SRR10104101	NA
Delftia_acidovorans	SRR10104102	NA
Delftia_acidovorans	SRR10104103	NA
Delftia_acidovorans	SRR10104104	NA
Delftia_acidovorans	SRR10104105	NA
Delftia_acidovorans	SRR10104106	NA
Delftia_acidovorans	SRR10104107	NA
Delftia_acidovorans	SRR10104108	NA
Delftia_acidovorans	SRR10104109	NA
Delftia_acidovorans	SRR10104110	NA
Delftia_acidovorans	SRR10104111	NA
Delftia_acidovorans	SRR10104112	NA
Delftia_acidovorans	SRR10104113	NA
Delftia_acidovorans	SRR10104114	NA
Delftia_acidovorans	SRR10104115	NA
Delftia_acidovorans	SRR10104116	NA
Delftia_acidovorans	SRR10104117	NA
Delftia_acidovorans	SRR10104118	NA
Delftia_acidovorans	SRR10104119	NA
Delftia_acidovorans	SRR10104120	NA
Delftia_acidovorans	SRR10104121	NA
Delftia_acidovorans	SRR10104122	NA
Delftia_acidovorans	SRR10104123	NA
Delftia_acidovorans	SRR10104124	NA
Delftia_acidovorans	SRR10104125	NA
Delftia_acidovorans	SRR10104126	NA
Delftia_acidovorans	SRR10104127	NA
Delftia_acidovorans	SRR10104128	NA
Delftia_acidovorans	SRR10104129	NA
Delftia_acidovorans	SRR10104130	NA
Delftia_acidovorans	SRR10104131	NA
Delftia_acidovorans	SRR10104132	NA
Delftia_acidovorans	SRR10104133	NA
Delftia_acidovorans	SRR10104134	NA
Delftia_acidovorans	SRR10104135	NA
Delftia_acidovorans	SRR10104136	NA
Delftia_acidovorans	SRR10104137	NA
Delftia_acidovorans	SRR10104138	NA
Delftia_acidovorans	SRR10104139	NA
Delftia_acidovorans	SRR10104140	NA
Delftia_acidovorans	SRR10104141	NA
Delftia_acidovorans	SRR10104142	NA
Delftia_acidovorans	SRR10104143	NA
Delftia_acidovorans	SRR10104144	NA
Delftia_acidovorans	SRR10104145	NA
Delftia_acidovorans	SRR10104146	NA
Delftia_acidovorans	SRR10104147	NA
Delftia_acidovorans	SRR10104148	NA
Delftia_acidovorans	SRR10104149	NA
Delftia_acidovorans	SRR10104150	NA
Delftia_acidovorans	SRR10104151	NA
Delftia_acidovorans	SRR10104152	NA
Delftia_acidovorans	SRR10104153	NA
Delftia_acidovorans	SRR10104154	NA
Delftia_acidovorans	SRR10104155	NA
Delftia_acidovorans	SRR10104156	NA
Delftia_acidovorans	SRR10104157	NA
Delftia_acidovorans	SRR10104158	NA
Delftia_acidovorans	SRR10104159	NA
Delftia_acidovorans	SRR10104160	NA
Delftia_acidovorans	SRR10104161	NA
Delftia_acidovorans	SRR10104162	NA
Delftia_acidovorans	SRR10104163	NA
Delftia_acidovorans	SRR10104164	NA
Delftia_acidovorans	SRR10104165	NA
Delftia_acidovorans	SRR10104166	NA
Delftia_acidovorans	SRR10104167	NA
Delftia_acidovorans	SRR10104168	NA
Delftia_acidovorans	SRR10104169	NA
Delftia_acidovorans	SRR10104170	NA
Delftia_acidovorans	SRR10104171	NA
Delftia_acidovorans	SRR10104172	NA
Delftia_acidovorans	SRR10104173	NA
Delftia_acidovorans	SRR10104174	NA
Delftia_acidovorans	SRR10104175	NA
Delftia_acidovorans	SRR10104176	NA
Delftia_acidovorans	SRR10104177	NA
Delftia_acidovorans	SRR10104178	NA
Delftia_acidovorans	SRR10104179	NA
Delftia_acidovorans	SRR10104180	NA
Delftia_acidovorans	SRR10104181	NA
Delftia_acidovorans	SRR10104182	NA
Delftia_acidovorans	SRR10104183	NA
Delftia_acidovorans	SRR10104184	NA
Delftia_acidovorans	SRR10104185	NA
Delftia_acidovorans	SRR10104186	NA
Delftia_acidovorans	SRR10104187	NA
Delftia_acidovorans	SRR10104188	NA
Delftia_acidovorans	SRR10104189	NA
Delftia_acidovorans	SRR10104190	NA
Delftia_acidovorans	SRR10104191	NA
Delftia_acidovorans	SRR10104192	NA
Delftia_acidovorans	SRR10104193	NA
Delftia_acidovorans	SRR10104194	NA
Delftia_acidovorans	SRR10104195	NA
Delftia_acidovorans	SRR10104196	NA
Delftia_acidovorans	SRR10104197	NA
Delftia_acidovorans	SRR10104198	NA
Delftia_acidovorans	SRR10104199	NA
Delftia_acidovorans	SRR10104200	NA
Delftia_acidovorans	SRR10104201	NA
Delftia_acidovorans	SRR10104202	NA
Delftia_acidovorans	SRR10104203	NA
Delftia_acidovorans	SRR10104204	NA
Delftia_acidovorans	SRR10104205	NA
Delftia_acidovorans	SRR10104206	NA
Delftia_acidovorans	SRR10104207	NA
Delftia_acidovorans	SRR10104208	NA
Delftia_acidovorans	SRR10104209	NA
Delftia_acidovorans	SRR10104210	NA
Delftia_acidovorans	SRR10104211	NA
Delftia_acidovorans	SRR10104212	NA
Delftia_acidovorans	SRR10104213	NA
Delftia_acidovorans	SRR10104214	NA
Delftia_acidovorans	SRR10104215	NA
Delftia_acidovorans	SRR10104216	NA
Delftia_acidovorans	SRR10104217	NA
Delftia_acidovorans	SRR10104218	NA
Delftia_acidovorans	SRR10104219	NA
Delftia_acidovorans	SRR10104220	NA
Delftia_acidovorans	SRR10104221	NA
Delftia_acidovorans	SRR10104222	NA
Delftia_acidovorans	SRR10104223	NA
Delftia_acidovorans	SRR10104224	NA
Delftia_acidovorans	SRR10104225	NA
Delftia_acidovorans	SRR10104226	NA
Delftia_acidovorans	SRR10104227	NA
Delftia_acidovorans	SRR10104228	NA
Delftia_acidovorans	SRR10104229	NA
Delftia_acidovorans	SRR10104230	NA
Delftia_acidovorans	SRR10104231	NA
Delftia_acidovorans	SRR10104232	NA
Delftia_acidovorans	SRR10104233	NA
Delftia_acidovorans	SRR10104234	NA
Delftia_acidovorans	SRR10104235	NA
Delftia_acidovorans	SRR10104236	NA
Delftia_acidovorans	SRR10104237	NA
Delftia_acidovorans	SRR10104238	NA
Delftia_acidovorans	SRR10104239	NA
Delftia_acidovorans	SRR10104240	NA
Delftia_acidovorans	SRR10104241	NA
Delftia_acidovorans	SRR10104242	NA
Delftia_acidovorans	SRR10104243	NA
Delftia_acidovorans	SRR10104244	NA
Delftia_acidovorans	SRR10104245	NA
Delftia_acidovorans	SRR10104246	NA
Delftia_acidovorans	SRR10104247	NA
Delftia_acidovorans	SRR10104248	NA
Delftia_acidovorans	SRR10104249	NA
Delftia_acidovorans	SRR10104250	NA
Delftia_acidovorans	SRR10104251	NA
Delftia_acidovorans	SRR10104252	NA
Delftia_acidovorans	SRR10104253	NA
Delftia_acidovorans	SRR10104254	NA
Delftia_acidovorans	SRR10104255	NA
Delftia_acidovorans	SRR10104256	NA
Delftia_acidovorans	SRR10104257	NA
Delftia_acidovorans	SRR10104258	NA
Delftia_acidovorans	SRR10224277	0
Delftia_acidovorans	SRR10224278	0
