Blood_Control-vs-Mesenteric_fat_Control
Blood_PIBD-vs-Stools_Control
Colon_CD-vs-Colon_PIBD
Colon_CD-vs-Endothelium_UC
Colon_CD-vs-Mesenteric_fat_CD
Endothelium_UC-vs-Blood_UC
Endothelium_UC-vs-Colon_Control
Ileum_CD-vs-Rectum_Control
Ileum_UC-vs-Blood_PIBD
Mesenteric_fat_CD-vs-Rectum_Control
Stools_CD-vs-Blood_Control
Stools_CD-vs-Blood_PIBD
Stools_UC-vs-Blood_UC
Stools_UC-vs-Colon_CD
