source	target	n
39	31	169
39	32	205
39	33	30
39	35	278
39	37	220
39	38	19
40	31	156
40	32	1382
40	33	184
40	34	4
40	35	125
40	36	3
40	37	348
41	31	131
41	32	261
41	33	24
41	34	4
41	35	77
41	36	3
41	37	194
42	31	12
42	33	24
39	0	40
39	1	44
39	10	62
39	14	73
39	15	71
39	16	33
39	19	220
39	2	10
39	20	206
39	21	15
39	22	43
39	23	26
39	26	5
39	27	19
39	6	54
40	0	84
40	1	112
40	10	218
40	11	20
40	12	3
40	13	10
40	16	43
40	17	210
40	18	254
40	19	348
40	2	12
40	21	60
40	22	92
40	24	199
40	26	5
40	3	107
40	4	97
40	5	4
40	6	65
40	8	259
41	0	46
41	1	39
41	10	42
41	11	1
41	12	3
41	13	4
41	15	2
41	16	55
41	17	35
41	18	50
41	19	194
41	20	20
41	21	12
41	22	55
41	25	8
41	26	8
41	3	51
41	5	4
41	8	51
41	9	14
42	25	12
42	7	24
39	28	455
39	29	44
39	30	422
40	28	1285
40	29	112
40	30	805
41	28	441
41	29	39
41	30	214
42	28	36
31	0	115
31	11	21
31	14	73
31	16	104
31	23	26
31	25	20
31	3	109
32	0	55
32	1	195
32	10	322
32	15	73
32	16	22
32	17	245
32	18	304
32	24	199
32	3	49
32	6	60
32	8	310
32	9	14
33	13	14
33	2	22
33	21	87
33	26	18
33	4	97
33	7	24
34	5	8
35	16	5
35	20	226
35	22	190
35	6	59
36	12	6
37	19	762
38	27	19
31	28	239
31	30	229
32	28	1027
32	29	195
32	30	626
33	28	157
33	30	105
34	28	8
35	28	5
35	30	475
36	30	6
37	28	762
38	28	19
0	28	170
1	29	195
10	28	322
11	30	21
12	30	6
13	28	14
14	30	73
15	28	73
16	28	131
17	28	245
18	30	304
19	28	762
2	28	22
20	30	226
21	30	87
22	30	190
23	30	26
24	30	199
25	28	20
26	30	18
27	28	19
3	30	158
4	28	97
5	28	8
6	30	119
7	28	24
8	28	310
9	30	14
