GSE165512_UCB
GSE137344
GSE138364
GSE139179
GSE143507
GSE156044
GSE158952
GSE159034
GSE62207
GSE64801
GSE57945
GSE66207
GSE67250
GSE69446
GSE72819
GSE81266
GSE83687
GSE93624
GSE101794
SRP115494
GSE109142
GSE112057
GSE117993
GSE130038
GSE134881
GSE135170
GSE135223
GSE165636_Pfizer
total
3' polyA
polyA
Colon
Ileum
Blood
Mesenteric_fat
Rectum
Colon_fibroblasts
Stools
Endothelium
UC
CD
Control
PIBD
