Blood_CD-vs-Blood_PIBD
Blood_PIBD-vs-Mesenteric_fat_Control
Blood_PIBD-vs-Rectum_Control
Colon_CD-vs-Rectum_Control
Colon_CD-vs-Rectum_UC
Colon_UC-vs-Colon_CD
Colon_UC-vs-Colon_Control
Colon_UC-vs-Colon_PIBD
Colon_UC-vs-Endothelium_UC
Endothelium_UC-vs-Colon_Control
Ileum_CD-vs-Blood_PIBD
Ileum_CD-vs-Blood_UC
Ileum_Control-vs-Mesenteric_fat_Control
Ileum_UC-vs-Blood_Control
Mesenteric_fat_CD-vs-Rectum_Control
Rectum_UC-vs-Endothelium_UC
Stools_CD-vs-Endothelium_UC
Stools_CD-vs-Ileum_Control
Stools_CD-vs-Mesenteric_fat_Control
