Blood_CD-vs-Blood_Control
Blood_CD-vs-Blood_PIBD
Blood_CD-vs-Blood_UC
Blood_PIBD-vs-Mesenteric_fat_Control
Blood_UC-vs-Stools_Control
Colon_CD-vs-Blood_CD
Colon_Control-vs-Ileum_Control
Colon_Control-vs-Stools_Control
Colon_UC-vs-Colon_PIBD
Colon_UC-vs-Stools_CD
Endothelium_UC-vs-Stools_Control
Ileum_CD-vs-Blood_CD
Ileum_CD-vs-Blood_UC
Rectum_UC-vs-Blood_UC
Rectum_UC-vs-Colon_Control
Stools_CD-vs-Mesenteric_fat_Control
Stools_UC-vs-Blood_PIBD
