Blood_PIBD-vs-Mesenteric_fat_CD
Blood_PIBD-vs-Mesenteric_fat_Control
Colon_CD-vs-Mesenteric_fat_CD
Colon_PIBD-vs-Blood_Control
Colon_UC-vs-Colon_PIBD
Endothelium_UC-vs-Colon_Control
Endothelium_UC-vs-Colon_PIBD
Ileum_CD-vs-Stools_CD
Ileum_CD-vs-Stools_Control
Mesenteric_fat_CD-vs-Ileum_Control
Mesenteric_fat_CD-vs-Mesenteric_fat_Control
Mesenteric_fat_CD-vs-Rectum_Control
Mesenteric_fat_CD-vs-Stools_Control
Stools_CD-vs-Blood_Control
Stools_CD-vs-Mesenteric_fat_CD
Stools_CD-vs-Mesenteric_fat_Control
Stools_UC-vs-Endothelium_UC
Stools_UC-vs-Mesenteric_fat_CD
