Blood_CD-vs-Blood_PIBD
Blood_monocytes_CD-vs-Blood_monocytes_Control
Blood_PBMCs_UC-vs-Blood_PBMCs_CD
Colon_CD-vs-Colon_Control
Colon_CD-vs-Colon_PIBD
Colon_PIBD-vs-Colon_Control
Colon_UC-vs-Colon_CD
Colon_UC-vs-Colon_Control
Colon_UC-vs-Colon_PIBD
Ileum_CD-vs-Ileum_Control
Ileum_CD-vs-Ileum_UC
Ileum_UC-vs-Ileum_Control
Mesenteric_fat_CD-vs-Mesenteric_fat_Control
Stools_CD-vs-Stools_Control
Stools_UC-vs-Stools_CD
Stools_UC-vs-Stools_Control
